ID produit,ID commune A,Pays A,Code commune A,Code INSEE A,Ville A,ID commune B,Pays B,Code commune B,Code INSEE B,Ville B,Slug,Titre produit,Distance itinéraire (m),Distance vol d’oiseau (m),Retenu comme produit,Itinéraire < 60 km,Vol d’oiseau < 40 km,Marge seuil itinéraire (m),Marge seuil vol d’oiseau (m),À ±250 m du seuil itinéraire,À ±250 m du seuil vol d’oiseau,Classification,Chapitre ancre A,Chapitre ancre B,Chaînage ancre A (m),Chaînage ancre B (m),Plus court chemin via origine,Pas echantillonnage m,Commerce proche A,Commerce proche B,Commerce A → trace (m),Commerce B → trace (m),Contrôle qualité,Source trace GPX
FR-80001__FR-80039,FR-80001,FR,80001,80001,Abbeville,FR-80039,FR,80039,80039,Ault,abbeville-a-ault,Abbeville – Ault à vélo,34155.91109271371,27662.269333204105,true,true,true,25844.088907286292,12337.730666795895,false,false,Les deux critères,Amiens → Étaples,Amiens → Étaples,566269.5746448501,600425.4857375638,false,10,Carrefour Market,Spar Express,85.82902054106704,6.164793193916332,,https://cms.gthf.fr
FR-80001__FR-62108,FR-80001,FR,80001,80001,Abbeville,FR-62108,FR,62108,62108,Berck,abbeville-a-berck,Abbeville – Berck à vélo,123388.08018175047,37789.60108018606,true,false,true,-63388.08018175047,2210.398919813939,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,689657.6548266006,false,10,Carrefour Market,Sophie Lebreuilly,85.82902054106704,34.72742698346863,,https://cms.gthf.fr
FR-80001__FR-80110,FR-80001,FR,80001,80001,Abbeville,FR-80110,FR,80110,80110,Boismont,abbeville-a-boismont,Abbeville – Boismont à vélo,72135.8108515736,11881.909484812859,true,false,true,-12135.810851573595,28118.09051518714,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,638405.3854964237,false,10,Carrefour Market,Carrefour Market,85.82902054106704,630.4324583248401,,https://cms.gthf.fr
FR-80001__FR-80182,FR-80001,FR,80001,80001,Abbeville,FR-80182,FR,80182,80182,Cayeux-sur-Mer,abbeville-a-cayeux-sur-mer,Abbeville – Cayeux-sur-Mer à vélo,42053.11516592326,25686.499968767006,true,true,true,17946.884834076744,14313.500031232994,false,false,Les deux critères,Amiens → Étaples,Amiens → Étaples,566269.5746448501,608322.6898107734,false,10,Carrefour Market,Sans nom,85.82902054106704,125.2949042974694,,https://cms.gthf.fr
FR-80001__FR-80368,FR-80001,FR,80001,80001,Abbeville,FR-80368,FR,80368,80368,Friville-Escarbotin,abbeville-a-friville-escarbotin,Abbeville – Friville-Escarbotin à vélo,25621.79521881696,20375.09098536406,true,true,true,34378.20478118304,19624.90901463594,false,false,Les deux critères,Amiens → Étaples,Amiens → Étaples,566269.5746448501,591891.3698636671,false,10,Carrefour Market,Boulangerie Boutrouille,85.82902054106704,578.7527336162617,,https://cms.gthf.fr
FR-80001__FR-62390,FR-80001,FR,80001,80001,Abbeville,FR-62390,FR,62390,62390,Groffliers,abbeville-a-groffliers,Abbeville – Groffliers à vélo,112104.56825992605,34597.00065853535,true,false,true,-52104.56825992605,5402.999341464652,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,678374.1429047761,false,10,Carrefour Market,Leader Price Express,85.82902054106704,339.7070464911554,,https://cms.gthf.fr
FR-80001__FR-80228,FR-80001,FR,80001,80001,Abbeville,FR-80228,FR,80228,80228,Le Crotoy,abbeville-a-le-crotoy,Abbeville – Le Crotoy à vélo,82049.98737933743,19186.4972952567,true,false,true,-22049.987379337428,20813.5027047433,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,648319.5620241875,false,10,Carrefour Market,Armor lux,85.82902054106704,7.494730923885768,,https://cms.gthf.fr
FR-80001__FR-80600,FR-80001,FR,80001,80001,Abbeville,FR-80600,FR,80600,80600,Noyelles-sur-Mer,abbeville-a-noyelles-sur-mer,Abbeville – Noyelles-sur-Mer à vélo,74196.43203922,12446.536773717899,true,false,true,-14196.432039220002,27553.463226282103,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,640466.0066840701,false,10,Carrefour Market,Supérette de la Baie,85.82902054106704,459.6797068399061,,https://cms.gthf.fr
FR-80001__FR-80618,FR-80001,FR,80001,80001,Abbeville,FR-80618,FR,80618,80618,Pendé,abbeville-a-pende,Abbeville – Pendé à vélo,63446.12840476073,18644.941247213243,true,false,true,-3446.1284047607332,21355.058752786757,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,629715.7030496108,false,10,Carrefour Market,Sans nom,85.82902054106704,1549.987096694217,,https://cms.gthf.fr
FR-80001__FR-80649,FR-80001,FR,80001,80001,Abbeville,FR-80649,FR,80649,80649,Quend,abbeville-a-quend,Abbeville – Quend à vélo,97382.24220910482,27418.70705634962,true,false,true,-37382.24220910482,12581.29294365038,false,false,Vol d’oiseau uniquement,Amiens → Étaples,Amiens → Étaples,566269.5746448501,663651.8168539549,false,10,Carrefour Market,Carrefour Contact,85.82902054106704,420.246353284008,,https://cms.gthf.fr
