ID produit,ID commune A,Pays A,Code commune A,Code INSEE A,Ville A,ID commune B,Pays B,Code commune B,Code INSEE B,Ville B,Slug,Titre produit,Distance itinéraire (m),Distance vol d’oiseau (m),Retenu comme produit,Itinéraire < 60 km,Vol d’oiseau < 40 km,Marge seuil itinéraire (m),Marge seuil vol d’oiseau (m),À ±250 m du seuil itinéraire,À ±250 m du seuil vol d’oiseau,Classification,Chapitre ancre A,Chapitre ancre B,Chaînage ancre A (m),Chaînage ancre B (m),Plus court chemin via origine,Pas echantillonnage m,Commerce proche A,Commerce proche B,Commerce A → trace (m),Commerce B → trace (m),Contrôle qualité,Source trace GPX
FR-80010__FR-80021,FR-80010,FR,80010,80010,Ailly-sur-Noye,FR-80021,FR,80021,80021,Amiens,ailly-sur-noye-a-amiens,Ailly-sur-Noye – Amiens à vélo,60136.96128561016,16018.311122623467,true,false,true,-136.9612856101594,23981.68887737653,true,false,Vol d’oiseau uniquement,Beauvais → Amiens,Amiens → Étaples,459004.9699337393,519141.93121934944,false,10,Cocci Market,Canal Pain,8.4635849046826,5.274851052225093,Proche seuil strict 60 km,https://cms.gthf.fr
FR-62019__FR-59008,FR-62019,FR,62019,62019,Aix-Noulette,FR-59008,FR,59008,59008,Aniche,aix-noulette-a-aniche,Aix-Noulette – Aniche à vélo,82674.01440153853,39837.37873539402,true,false,true,-22674.01440153853,162.62126460597938,false,true,Vol d’oiseau uniquement,Lille → Arras,Arras → Condé-sur-l’Escaut,1125374.1663694703,1208048.1807710088,false,10,Sans nom,Lidl,1241.662392709341,699.9122391221376,Proche seuil strict 40 km,https://cms.gthf.fr
FR-62041__FR-59375,FR-62041,FR,62041,62041,Arras,FR-59375,FR,59375,59375,Marchiennes,arras-a-marchiennes,Arras – Marchiennes à vélo,59987.48340802919,37987.49290471782,true,true,true,12.516591970808804,2012.507095282177,true,false,Les deux critères,Arras → Condé-sur-l’Escaut,Arras → Condé-sur-l’Escaut,1161706.0219298773,1221693.5053379065,false,10,Carrefour City,Au Fournil de Marchiennes,7.5497881248098375,99.15181637464094,Proche seuil strict 60 km,https://cms.gthf.fr
FR-59024__FR-59331,FR-59024,FR,59024,59024,Auberchicourt,FR-59331,FR,59331,59331,Landrecies,auberchicourt-a-landrecies,Auberchicourt – Landrecies à vélo,110696.89211256243,39881.72428842636,true,false,true,-50696.89211256243,118.27571157363855,false,true,Vol d’oiseau uniquement,Arras → Condé-sur-l’Escaut,Condé-sur-l’Escaut → Hirson,1208226.809155832,1318923.7012683945,false,10,Match,Boulangerie Mr & Mme Desprez,442.5408281853761,1334.6485029241908,Proche seuil strict 40 km,https://cms.gthf.fr
FR-62065__FR-59632,FR-62065,FR,62065,62065,Avion,FR-59632,FR,59632,59632,Wallers,avion-a-wallers,Avion – Wallers à vélo,134241.93565055542,39930.24610227123,true,false,true,-74241.93565055542,69.75389772876952,false,true,Vol d’oiseau uniquement,Lille → Arras,Arras → Condé-sur-l’Escaut,1101110.8325840312,1235352.7682345866,false,10,Carrefour Market,Banette,148.44646906369638,3179.8403028907114,B >2 km du commerce; Proche seuil strict 40 km,https://cms.gthf.fr
FR-59106__FR-59484,FR-59106,FR,59106,59106,Bouvines,FR-59484,FR,59484,59484,Quiévrechain,bouvines-a-quievrechain,Bouvines – Quiévrechain à vélo,218347.60979918018,39789.97537376779,true,false,true,-158347.60979918018,210.02462623221072,false,true,Vol d’oiseau uniquement,Lille → Arras,Condé-sur-l’Escaut → Hirson,1055779.005297932,1274126.6150971123,false,10,Epicerie,Ô Discount,1722.2452848476603,128.82003602279502,Proche seuil strict 40 km,https://cms.gthf.fr
FR-59106__FR-62801,FR-59106,FR,59106,59106,Bouvines,FR-62801,FR,62801,62801,Souchez,bouvines-a-souchez,Bouvines – Souchez à vélo,60045.94608684955,38068.53365386511,true,false,true,-45.94608684955165,1931.46634613489,true,false,Vol d’oiseau uniquement,Lille → Arras,Lille → Arras,1055779.005297932,1115824.9513847816,false,10,Epicerie,CocciMarket,1722.2452848476603,74.61496670195623,Proche seuil strict 60 km,https://cms.gthf.fr
FR-62235__FR-62193,FR-62235,FR,62235,62235,Condette,FR-62193,FR,62193,62193,Calais,condette-a-calais,Condette – Calais à vélo,60077.53058920882,36652.16218538554,true,false,true,-77.53058920882177,3347.8378146144605,true,false,Vol d’oiseau uniquement,Étaples → Calais,Étaples → Calais,742678.6054198752,802756.1360090841,false,10,Passion & Gourmandise - Boulangerie Pâtisserie,Vrac'Opale,307.08438402448184,11.486984393044546,Proche seuil strict 60 km,https://cms.gthf.fr
FR-62235__FR-62548,FR-62235,FR,62235,62235,Condette,FR-62548,FR,62548,62548,Marck,condette-a-marck,Condette – Marck à vélo,72000.40257614187,39890.39591159363,true,false,true,-12000.402576141874,109.60408840636956,false,true,Vol d’oiseau uniquement,Étaples → Calais,Calais → Saint-Omer,742678.6054198752,814679.0079960171,false,10,Passion & Gourmandise - Boulangerie Pâtisserie,Carrefour Market,307.08438402448184,1035.2401164370722,Proche seuil strict 40 km,https://cms.gthf.fr
FR-59155__FR-59043,FR-59155,FR,59155,59155,Coudekerque-Branche,FR-59043,FR,59043,59043,Bailleul,coudekerque-branche-a-bailleul,Coudekerque-Branche – Bailleul à vélo,126941.79106383119,39769.63198749171,true,false,true,-66941.79106383119,230.36801250829012,false,true,Vol d’oiseau uniquement,Calais → Saint-Omer,Saint-Omer → Lille,877113.1953162496,1004054.9863800808,false,10,Vandecasteele,Karina Durik,27.31530058674767,7.943732633354811,Proche seuil strict 40 km,https://cms.gthf.fr
