GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO,GTHF — Inventaire des villes et produits SEO
Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues,Dénombrement auditable des villes admissibles et des combinaisons ville × ville retenues
,,,,,,,,,,,,,,
Villes admissibles,Villes admissibles,Villes admissibles,,Produits retenus,Produits retenus,Produits retenus,,Paires brutes possibles,Paires brutes possibles,Paires brutes possibles,,Longueur de la boucle,Longueur de la boucle,Longueur de la boucle
223,,,,3891,,,,24753,,,,1406.4243597599245,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Deux critères,Deux critères,Deux critères,,Itinéraire uniquement,Itinéraire uniquement,Itinéraire uniquement,,Vol d’oiseau uniquement,Vol d’oiseau uniquement,Vol d’oiseau uniquement,,Alertes commerce > 2 km,Alertes commerce > 2 km,Alertes commerce > 2 km
2417,,,,43,,,,1431,,,,19,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Règles de sélection,Règles de sélection,Règles de sélection,Règles de sélection,Règles de sélection,Règles de sélection,Règles de sélection,,Contrôles et version des données,Contrôles et version des données,Contrôles et version des données,Contrôles et version des données,Contrôles et version des données,Contrôles et version des données,Contrôles et version des données
Ville admissible,,"≥ 1 boulangerie, supérette ou supermarché actif",,,,,,Calcul produit le,,2026-07-19,,,,
Seuil itinéraire,,< 60 km sur la boucle,,,,,,Instantané OSM,,UTC 2026-07-19T13:38:10Z,,,,
Seuil vol d’oiseau,,< 40 km,,,,,,Pas d’échantillonnage,,10 m,,,,
Règle de rétention,,Au moins un des deux seuils est respecté,,,,,,Points de trace sans commune,,41,,,,
Dédoublonnage,,Une seule paire non ordonnée ; sens inverse géré par l’interface,,,,,,Frontières multi-communes,,10,,,,
Comparaison,,Seuils appliqués aux mètres non arrondis,,,,,,Note,,Paires non ordonnées sur la boucle; distance minimale entre occurrences; seuils < stricts sur mètres non arrondis; QA à ±250 m des seuils.,,,,
,,,,,,,,Écart classifications / produits,,0,,,,
,,,,,,,,Paires proches des seuils,,70,,,,
