ID commune,Pays,Code commune,Code INSEE,Ville,Département / province,Population,Longitude ancre,Latitude ancre,Source ancre communale,Premier chapitre,Chaînage premier passage (m),Nombre de passages,Commerces admissibles,Boulangeries,Supérettes,Supermarchés,Commerce le plus proche,Type du commerce,Commerce → trace (m),Uniquement station-service,Alerte commerce > 2 km,Identifiants OSM,Source commune,Source commerces
FR-02381,FR,02381,02381,Hirson,02,8469,4.0841,49.9202,mairie api.gouv.fr,Hirson → Soissons,0,2,10,5,2,3,Boulangerie Fleury,bakery,10.545494354926225,false,false,node/4238047108;node/4239501903;node/4239502332;node/4243101871;node/4243513481;node/4564006492;node/10743374921;node/10756759289;node/10773969049;way/269123389,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02134,FR,02134,02134,Buire,02,795,4.0562,49.903,mairie api.gouv.fr,Hirson → Soissons,2265.103067972608,1,1,0,0,1,E.Leclerc,supermarket,74.16614450068937,false,false,way/336796005,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02295,FR,02295,02295,Étréaupont,02,839,3.9157,49.9027,mairie api.gouv.fr,Hirson → Soissons,15296.060150559571,1,2,1,1,0,À la petite épicerie,convenience,277.7492052049736,false,false,node/7738357373;node/9096854155,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02469,FR,02469,02469,Marly-Gomont,02,483,3.7913,49.906,mairie api.gouv.fr,Hirson → Soissons,25184.546409721832,1,2,1,1,0,Proxi,convenience,8.75172437506933,false,false,node/9737464407;node/11142161844,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02361,FR,02361,02361,Guise,02,4490,3.6253,49.8979,mairie api.gouv.fr,Hirson → Soissons,39392.090129096454,1,11,5,3,3,Les Copains de Thiérache - Produits locaux - Location de vélos,convenience,5.135530084181893,false,false,node/3935766675;node/3935766686;node/3935766720;node/3935792407;node/3935997098;node/5761205895;node/6019520967;node/13247486729;way/128311759;way/128317363;way/781770854,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02450,FR,02450,02450,Macquigny,02,357,3.5504,49.8848,mairie api.gouv.fr,Hirson → Soissons,47271.85795740757,1,1,1,0,0,Boulangerie de Macquigny,bakery,10.744515111120528,false,false,node/6815684626,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02503,FR,02503,02503,Mont-d'Origny,02,839,3.5005,49.843,mairie api.gouv.fr,Hirson → Soissons,53370.40902732515,1,1,0,0,1,Aldi,supermarket,742.5178940020236,false,false,node/1237097902,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02575,FR,02575,02575,Origny-Sainte-Benoite,02,1587,3.4886,49.8404,mairie api.gouv.fr,Hirson → Soissons,54230.20350544418,1,3,2,1,0,Aux délices de la Sucrerie,bakery,12.72207505746013,false,false,node/1144711428;node/1144721813;node/12922659494,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02648,FR,02648,02648,Ribemont,02,1931,3.4594,49.7956,mairie api.gouv.fr,Hirson → Soissons,59182.47686842998,1,2,1,0,1,Intermarché Super,supermarket,1083.4987360321645,false,false,node/5279636943;way/125537819,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02304,FR,02304,02304,La Fère,02,2796,3.3673,49.6612,mairie api.gouv.fr,Hirson → Soissons,85901.58566022414,1,5,3,0,2,Lidl,supermarket,33.798167107115155,false,false,node/3932349046;node/3933754194;node/3933841326;way/84372797;way/880644470,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02680,FR,02680,02680,Saint-Gobain,02,2288,3.3793,49.5957,mairie api.gouv.fr,Hirson → Soissons,94443.3187546177,2,2,1,0,1,Au Bon Pain,bakery,2233.8337187798697,false,true,node/4207001079;node/10211406787,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02408,FR,02408,02408,Laon,02,24220,3.6206,49.5651,mairie api.gouv.fr,Hirson → Soissons,121288.1520471239,1,24,11,7,6,L'Aontraide,convenience,4.645453975649975,false,false,node/1611175268;node/1742954884;node/1742954885;node/4347381390;node/5310155801;node/6151748804;node/6521877098;node/6635020859;node/7067083635;node/7248235599;node/7252820273;node/7252866249;node/7255613562;node/7255687773;node/7781516832;node/8252454905;node/8285871684;node/12433947564;node/13770597701;way/146671258;way/146673080;way/146673636;way/912324491;way/1047437761,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02755,FR,02755,02755,Urcel,02,534,3.5599,49.4891,mairie api.gouv.fr,Hirson → Soissons,137514.73438754625,1,1,1,0,0,Au Fournil Des Rois,bakery,256.05292902976237,false,false,node/13246260538,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02158,FR,02158,02158,Chamouille,02,272,3.6653,49.4742,mairie api.gouv.fr,Hirson → Soissons,150207.2565005422,4,1,1,0,0,Boulangerie Pâtisserie Christian Lambert,bakery,111.23130885930553,false,false,node/6519231958,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
FR-02758,FR,02758,02758,Vailly-sur-Aisne,02,2050,3.5165,49.411,mairie api.gouv.fr,Hirson → Soissons,181467.86271515148,1,2,2,0,0,Boulangerie Pesta,bakery,872.2372563877416,false,false,node/6131174092;node/9393818562,https://geo.api.gouv.fr/decoupage-administratif/communes,https://www.openstreetmap.org/copyright
